id,is_excellence,override,value,name_e,name_c,hand_format,desc_e,desc_c,examples
101,TRUE,102,10000,SUPREME NINE GATES,純正九蓮寶燈,,"Winning hand consists of 1112345678999 of the same suit, and all tiles of that suit are valid waits. Always score as if win by self drawn, even if win from other's discard.","和牌手牌為同花色的1112345678999, 聽該花色所有牌. 即使點和, 也按照自摸和牌計分, 其他家分付.",1112345678999c + 6c
102,TRUE,201,3000,NINE GATES,九蓮寶燈,,"Winning hand being 1112345678999X of the same suit, where X is any tile of that suit. However being not a 9-sided wait.","和牌手牌為同花色的1112345678999X, 但並非9面聽牌.",1111234578999d + 6d
103,TRUE,"306, 308",12000,QUADRUPLE STRAIGHTS,一色四同順,SSSSp,"Winning hand consists of 4 straights, all being the same suit and numbers.","和牌手牌包含4個順子, 且其花色和序數都相同.",[123b][123b]11223b77d + 3b
104,TRUE,"109, 404",7000,GRAND SEVEN STARS,大七星,seven_pairs,Winning hand being Seven Pairs that's made of all 7 types of honor tiles.,"和牌手牌為七對, 且由七個不同的字牌對子組成.",EESWWNNRRGGWhWh + S
105,TRUE,"201, 404",5500,SEVEN CONSECUTIVE PAIRS,連七對,seven_pairs,"Winning hand consists of Seven Pairs of the same suit, and being 7 consecutive numbers.","和牌手牌為七對, 且由同花的7個序數相連的對子組成.",2233445667788d + 5d
106,TRUE,251,6000,FOUR QUADS,四槓,TTTTp,Winning hand contains 4 Quads of any kind.,和牌手牌有4個槓.,[1111c][2222c][7777d][RRRR*] 5b + 5b
107,TRUE,108,6000,MAJOR FOUR WINDS,大四喜,TTTTp,Winning hand contains triplets of all 4 winds.,和牌手牌包含所有4個風刻.,[EEE][SSSS][WWW]4d NNN + 4d
108,TRUE,255,4000,MINOR FOUR WINDS,小四喜,TTT?p,"Winning hand contains triplet of 3 winds, and using the 4th type of wind as the pair.","和牌手牌包含3個風刻, 且以第四種風做將.",[EEE][SSSS][WWW]44d NN + 4d
109,TRUE,"205, 255",3000,ALL HONORS,字一色,"TTTTp, seven_pairs","Winning hand being [All Triplets] of any variant of [Seven Pair], and consists of only Honor tiles.","和牌手牌為[碰碰和]或任意類型的[七對], 且僅包含字牌. 不加計[碰碰和], 但可加計[七對]類番種.",[EEE][NNN][GGG]WhWhSS + S
110,TRUE,259,3000,MAJOR THREE DRAGONS,大三元,TTT?p,Winning hand contains triplets of all 3 dragons.,和牌手牌包含所有3個三元刻.,[RRR][GGGG*]WhWhWh 33b 55d + 5d
111,TRUE,411,5000,BLESSING OF HEAVEN,天和,,"Dealer win with initial dealt 14 tiles. If [NINE GATES] or [THIRTEEN ORPHANS] occur, counts as [SUPREME NINE GATES]  or [ALL WAITS THIRTEEN ORPHANS] instead.","莊家拿到的14張牌直接和牌. 如果為[九蓮寶燈]或[十三幺], 按[純正九蓮寶燈]或[十三幺(十三面聽)]計.",22334b555cGGGWhWh + 4b* +BOH
112,TRUE,411,5000,BLESSING OF EARTH,地和,,Non-Dealer win on first tile drawn. Calls from other players prior to it won't cause this Fan to be unachieveable.,閒家第一次摸牌後和牌. 在此之前其他家的吃碰槓不會導致此番種無法達成.,22334b555cGGGWhWh + 4b* +BOE
113,TRUE,201,5000,ALL GREEN,綠一色,,Winning hand contains only 23468b and G.,"和牌手牌僅包含23468條, 以及發財.",[234b][234b][GGGG*]6668b + 8b
114,TRUE,"262, 401",5000,ALL TERMINALS,清幺九,"TTTTp, seven_pairs","Winning hand being [All Triplets] of any variant of [Seven Pair], and consists of only Terminal tiles. Overrides [All Triplets], but can be scored along with Fan involving [Seven Pairs].","和牌手牌為[碰碰和]或任意類型的[七對], 且僅包含序數幺久牌. 不加計[碰碰和], 但可加計[七對]類番種.",[111b][111c][111d] 99b 999c 99d + 9d*
